generic,disease,min_weight,max_weight,min_crcl,max_crcl,max_dose_dd_mg,max_dose_dw_mg,max_dose_dd_iu,max_dose_dw_iu,route,flag
Amikacin,General,0.0,999.0,70.0,89.0,0.0,12.0,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,50.0,69.0,0.0,7.5,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,30.0,49.0,0.0,4.0,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,30.0,39.0,0.0,4.0,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,20.0,29.0,0.0,3.75,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,10.0,19.0,0.0,2.0,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,0.0,9.0,0.0,1.5,0.0,0.0,IV,Normal
Amikacin,General,0.0,999.0,70.0,89.0,0.0,12.0,0.0,0.0,IM,Normal
Amikacin,General,0.0,999.0,50.0,69.0,0.0,7.5,0.0,0.0,IM,Normal
Amikacin,General,0.0,999.0,30.0,49.0,0.0,4.0,0.0,0.0,IM,Normal
Amikacin,General,0.0,999.0,30.0,39.0,0.0,4.0,0.0,0.0,IM,Normal
Amikacin,General,0.0,999.0,20.0,29.0,0.0,3.75,0.0,0.0,IM,Normal
Amikacin,General,0.0,999.0,10.0,19.0,0.0,2.0,0.0,0.0,IM,Normal
Amikacin,General,0.0,999.0,0.0,9.0,0.0,1.5,0.0,0.0,IM,Normal
Amoxicillin,General,0.0,999.0,10.0,30.0,2000.0,0.0,0.0,0.0,PO,Normal
Amoxicillin,General,0.0,999.0,0.0,9.0,1000.0,0.0,0.0,0.0,PO,Normal
Amoxicillin  + Clavulanic Acid,General,0.0,999.0,10.0,30.0,1750.0,0.0,0.0,0.0,PO,Normal
Amoxicillin  + Clavulanic Acid,General,0.0,999.0,0.0,9.0,875.0,0.0,0.0,0.0,PO,Normal
Amphotericin B,General,0.0,999.0,0.0,10.0,0.0,0.7,0.0,0.0,PO,Normal
Ampicillin,General,0.0,999.0,30.0,50.0,8000.0,0.0,0.0,0.0,IM,Normal
Ampicillin,General,0.0,999.0,10.0,29.0,6000.0,0.0,0.0,0.0,IM,Normal
Ampicillin,General,0.0,999.0,0.0,9.0,4000.0,0.0,0.0,0.0,IM,Normal
Ampicillin,General,0.0,999.0,30.0,50.0,8000.0,0.0,0.0,0.0,IV,Normal
Ampicillin,General,0.0,999.0,10.0,29.0,6000.0,0.0,0.0,0.0,IV,Normal
Ampicillin,General,0.0,999.0,0.0,9.0,4000.0,0.0,0.0,0.0,IV,Normal
Ampicillin,General,0.0,999.0,30.0,49.0,2000.0,0.0,0.0,0.0,PO,Normal
Ampicillin,General,0.0,999.0,10.0,29.0,1500.0,0.0,0.0,0.0,PO,Normal
Ampicillin,General,0.0,999.0,0.0,9.0,1000.0,0.0,0.0,0.0,PO,Normal
Artemether,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Artemether + Lumefantrine,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Azithromycin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Aztreonam,General,0.0,999.0,10.0,30.0,4000.0,0.0,0.0,0.0,IV,Normal
Aztreonam,General,0.0,999.0,0.0,9.0,2000.0,0.0,0.0,0.0,IV,Normal
Benzathine Penicillin,General,0.0,999.0,15.0,59.0,0.0,0.0,600000.0,0.0,IM,Normal
Benzathine Penicillin,General,0.0,999.0,0.0,14.0,0.0,0.0,300000.0,0.0,IM,Normal
Benzyl Penicillin,General,0.0,999.0,60.0,89.0,14400.0,0.0,0.0,0.0,IV,Normal
Benzyl Penicillin,General,0.0,999.0,40.0,59.0,7200.0,0.0,0.0,0.0,IV,Normal
Benzyl Penicillin,General,0.0,999.0,20.0,39.0,5400.0,0.0,0.0,0.0,IV,Normal
Benzyl Penicillin,General,0.0,999.0,10.0,19.0,3600.0,0.0,0.0,0.0,IV,Normal
Benzyl Penicillin,General,0.0,999.0,0.0,9.0,2400.0,0.0,0.0,0.0,IV,Normal
Cefaclor,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Cefadroxil,General,0.0,999.0,25.0,50.0,1000.0,0.0,0.0,0.0,PO,Normal
Cefadroxil,General,0.0,999.0,10.0,24.0,500.0,0.0,0.0,0.0,PO,Normal
Cefadroxil,General,0.0,999.0,0.0,9.0,250.0,0.0,0.0,0.0,PO,Normal
Cefazolin,General,0.0,999.0,35.0,54.0,6000.0,0.0,0.0,0.0,IV,Normal
Cefazolin,General,0.0,999.0,11.0,34.0,3000.0,0.0,0.0,0.0,IV,Normal
Cefazolin,General,0.0,999.0,0.0,10.0,1000.0,0.0,0.0,0.0,IV,Normal
Cefazolin,General,0.0,999.0,35.0,54.0,6000.0,0.0,0.0,0.0,IM,Normal
Cefazolin,General,0.0,999.0,11.0,34.0,3000.0,0.0,0.0,0.0,IM,Normal
Cefazolin,General,0.0,999.0,0.0,10.0,1000.0,0.0,0.0,0.0,IM,Normal
Cefdinir,General,0.0,999.0,0.0,29.0,300.0,0.0,0.0,0.0,PO,Normal
Cefditoren,General,0.0,999.0,30.0,49.0,400.0,0.0,0.0,0.0,PO,Normal
Cefditoren,General,0.0,999.0,0.0,29.0,200.0,0.0,0.0,0.0,IV,Normal
Cefepime,General,0.0,999.0,60.0,89.0,6000.0,0.0,0.0,0.0,IV,Normal
Cefepime,General,0.0,999.0,30.0,60.0,4000.0,0.0,0.0,0.0,IV,Normal
Cefepime,General,0.0,999.0,10.0,29.0,2000.0,0.0,0.0,0.0,IV,Normal
Cefepime,General,0.0,999.0,0.0,9.0,1000.0,0.0,0.0,0.0,IV,Normal
Cefixime,General,0.0,999.0,21.0,59.0,260.0,0.0,0.0,0.0,PO,Normal
Cefixime,General,0.0,999.0,0.0,20.0,200.0,0.0,0.0,0.0,PO,Normal
Cefoperazone,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Cefotaxime,General,0.0,999.0,10.0,50.0,6000.0,0.0,0.0,0.0,IM,Normal
Cefotaxime,General,0.0,999.0,0.0,9.0,2000.0,0.0,0.0,0.0,IM,Normal
Cefotaxime,General,0.0,999.0,10.0,50.0,6000.0,0.0,0.0,0.0,IV,Normal
Cefotaxime,General,0.0,999.0,0.0,9.0,2000.0,0.0,0.0,0.0,IV,Normal
Cefoxitin,General,0.0,999.0,30.0,50.0,6000.0,0.0,0.0,0.0,IV,Normal
Cefoxitin,General,0.0,999.0,10.0,29.0,4000.0,0.0,0.0,0.0,IV,Normal
Cefoxitin,General,0.0,999.0,5.0,9.0,2000.0,0.0,0.0,0.0,IV,Normal
Cefoxitin,General,0.0,999.0,0.0,4.0,1000.0,0.0,0.0,0.0,IV,Normal
Cefpirome,General,0.0,999.0,21.0,50.0,2000.0,0.0,0.0,0.0,IV,Normal
Cefpirome,General,0.0,999.0,0.0,20.0,1000.0,0.0,0.0,0.0,IV,Normal
Cefpodoxime,General,0.0,999.0,0.0,29.0,400.0,0.0,0.0,0.0,PO,Normal
Cefpodoxime  + Clavulanic Acid,General,0.0,999.0,0.0,29.0,400.0,0.0,0.0,0.0,PO,Normal
Cefprozil,General,0.0,999.0,0.0,29.0,500.0,0.0,0.0,0.0,PO,Normal
Ceftazidime,General,0.0,999.0,31.0,50.0,4000.0,0.0,0.0,0.0,IV,Normal
Ceftazidime,General,0.0,999.0,16.0,30.0,2000.0,0.0,0.0,0.0,IV,Normal
Ceftazidime,General,0.0,999.0,0.0,15.0,1000.0,0.0,0.0,0.0,IV,Normal
Ceftibuten,General,0.0,999.0,30.0,49.0,200.0,0.0,0.0,0.0,PO,Normal
Ceftibuten,General,0.0,999.0,5.0,29.0,100.0,0.0,0.0,0.0,PO,Normal
Ceftriaxone,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Cefuroxime,General,0.0,999.0,0.0,9.0,250.0,0.0,0.0,0.0,PO,Normal
Cefuroxime,General,0.0,999.0,10.0,30.0,500.0,0.0,0.0,0.0,PO,Normal
Cefuroxime,General,0.0,999.0,0.0,9.0,750.0,0.0,0.0,0.0,IV,Normal
Cefuroxime,General,0.0,999.0,10.0,19.0,1500.0,0.0,0.0,0.0,IV,Normal
Cefuroxime,General,0.0,999.0,20.0,89.0,4500.0,0.0,0.0,0.0,IV,Normal
Cefuroxime + Clavulanic Acid,General,0.0,999.0,0.0,9.0,250.0,0.0,0.0,0.0,PO,Normal
Cefuroxime + Clavulanic Acid,General,0.0,999.0,10.0,30.0,500.0,0.0,0.0,0.0,PO,Normal
Cefuroxime + Clavulanic Acid,General,0.0,999.0,0.0,9.0,750.0,0.0,0.0,0.0,IV,Normal
Cefuroxime + Clavulanic Acid,General,0.0,999.0,10.0,19.0,1500.0,0.0,0.0,0.0,IV,Normal
Cefuroxime + Clavulanic Acid,General,0.0,999.0,20.0,89.0,4500.0,0.0,0.0,0.0,IV,Normal
Cephalexin,General,0.0,999.0,30.0,59.0,1000.0,0.0,0.0,0.0,PO,Normal
Cephalexin,General,0.0,999.0,15.0,29.0,750.0,0.0,0.0,0.0,PO,Normal
Cephalexin,General,0.0,999.0,5.0,14.0,250.0,0.0,0.0,0.0,PO,Normal
Cephalexin,General,0.0,999.0,1.0,4.0,125.0,0.0,0.0,0.0,PO,Normal
Cephradine,General,0.0,999.0,21.0,999.0,2000.0,0.0,0.0,0.0,PO,Normal
Cephradine,General,0.0,999.0,5.0,20.0,1000.0,0.0,0.0,0.0,PO,Normal
Cephradine,General,0.0,999.0,0.0,4.0,500.0,0.0,0.0,0.0,PO,Normal
Ciprofloxacin,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IM,Normal
Ciprofloxacin,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IV,Normal
Ciprofloxacin,General,0.0,999.0,5.0,29.0,500.0,0.0,0.0,0.0,PO,Normal
Ciprofloxacin,General,0.0,999.0,30.0,50.0,1000.0,0.0,0.0,0.0,PO,Normal
Ciprofloxacin Hydrochloride,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IM,Normal
Ciprofloxacin Hydrochloride,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IV,Normal
Ciprofloxacin Hydrochloride,General,0.0,999.0,5.0,29.0,500.0,0.0,0.0,0.0,PO,Normal
Ciprofloxacin Hydrochloride,General,0.0,999.0,30.0,50.0,1000.0,0.0,0.0,0.0,PO,Normal
Clarithromycin,General,0.0,999.0,0.0,29.0,500.0,0.0,0.0,0.0,PO,Normal
Clindamycin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Cloxacillin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Dapsone,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Dicloxacillin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Doripenem,General,0.0,999.0,30.0,50.0,750.0,0.0,0.0,0.0,IV,Normal
Doripenem,General,0.0,999.0,10.0,29.0,500.0,0.0,0.0,0.0,IV,Normal
Doxycycline,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Ertapenem,General,0.0,999.0,0.0,30.0,500.0,0.0,0.0,0.0,IM,Normal
Ertapenem,General,0.0,999.0,0.0,30.0,500.0,0.0,0.0,0.0,IV,Normal
Erythromycin,General,0.0,999.0,11.0,90.0,2000.0,0.0,0.0,0.0,PO,Normal
Erythromycin,General,0.0,999.0,11.0,90.0,4000.0,0.0,0.0,0.0,IV,Normal
Erythromycin,General,0.0,999.0,0.0,10.0,1000.0,0.0,0.0,0.0,PO,Normal
Erythromycin,General,0.0,999.0,11.0,90.0,2000.0,0.0,0.0,0.0,IV,Normal
Ethambutol,General,0.0,999.0,10.0,50.0,0.0,25.0,0.0,0.0,PO,Normal
Ethambutol,General,0.0,999.0,0.0,9.0,0.0,15.0,0.0,0.0,PO,Normal
Flucloxacillin,General,0.0,999.0,0.0,9.0,4000.0,0.0,0.0,0.0,IV,Normal
Flucloxacillin,General,0.0,999.0,0.0,9.0,4000.0,0.0,0.0,0.0,IM,Normal
Flucloxacillin,General,0.0,999.0,0.0,9.0,4000.0,0.0,0.0,0.0,PO,Normal
Fusidic Acid,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Gentamicin,General,0.0,999.0,0.0,20.0,0.0,2.5,0.0,0.0,IV,Normal
Gentamicin,General,0.0,39.5,21.0,30.0,89.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,39.6,49.5,21.0,30.0,89.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,49.6,59.5,21.0,30.0,100.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,59.6,69.5,21.0,30.0,120.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,69.6,80.99,21.0,30.0,120.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,81.0,999.0,21.0,30.0,130.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,0.0,39.5,31.0,40.0,0.0,2.5,0.0,0.0,IV,Normal
Gentamicin,General,39.6,49.5,31.0,40.0,100.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,49.6,59.5,31.0,40.0,120.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,59.6,69.5,31.0,40.0,140.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,69.6,80.99,31.0,40.0,150.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,81.0,999.0,31.0,40.0,160.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,0.0,39.5,41.0,50.0,0.0,2.5,0.0,0.0,IV,Normal
Gentamicin,General,39.6,49.5,41.0,50.0,120.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,49.6,59.5,41.0,50.0,140.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,59.6,69.5,41.0,50.0,160.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,69.6,80.99,41.0,50.0,380.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,81.0,999.0,41.0,50.0,200.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,0.0,39.5,51.0,60.0,0.0,5.0,0.0,0.0,IV,Normal
Gentamicin,General,39.6,49.5,51.0,60.0,200.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,49.6,59.5,51.0,60.0,240.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,59.6,69.5,51.0,60.0,280.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,69.6,80.99,51.0,60.0,300.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,81.0,999.0,51.0,60.0,320.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,0.0,39.5,61.0,89.0,0.0,5.0,0.0,0.0,IV,Normal
Gentamicin,General,39.6,49.5,61.0,89.0,240.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,49.6,59.5,61.0,89.0,280.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,59.6,69.5,61.0,89.0,320.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,69.6,80.99,61.0,89.0,360.0,0.0,0.0,0.0,IV,Normal
Gentamicin,General,81.0,999.0,61.0,89.0,400.0,0.0,0.0,0.0,IV,Normal
Imipenem  + Cilastatin,General,0.0,999.0,60.0,89.0,2000.0,0.0,0.0,0.0,IV,Normal
Imipenem  + Cilastatin,General,0.0,999.0,30.0,59.0,1500.0,0.0,0.0,0.0,IV,Normal
Imipenem  + Cilastatin,General,0.0,999.0,15.0,29.0,1000.0,0.0,0.0,0.0,IV,Normal
Imipenem  + Cilastatin,General,0.0,999.0,0.0,14.0,0.0,0.0,0.0,0.0,IV,Normal
Isoniazid,General,0.0,999.0,0.0,29.0,300.0,0.0,0.0,0.0,PO,Normal
Isoniazid,General,0.0,999.0,0.0,29.0,300.0,0.0,0.0,0.0,IM,Normal
Isoniazid,General,0.0,999.0,0.0,29.0,300.0,0.0,0.0,0.0,IV,Normal
Isoniazid  + Thiacetazone,General,0.0,999.0,0.0,29.0,300.0,0.0,0.0,0.0,PO,Normal
Isoniazid  + Thiacetazone,General,0.0,999.0,0.0,29.0,300.0,0.0,0.0,0.0,IM,Normal
Isoniazid  + Thiacetazone,General,0.0,999.0,0.0,29.0,300.0,0.0,0.0,0.0,IV,Normal
Isoniazid + Pyrazinamide + Rifampicin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Levofloxacin,General,0.0,999.0,20.0,49.0,375.0,0.0,0.0,0.0,PO,Normal
Levofloxacin,General,0.0,999.0,10.0,19.0,250.0,0.0,0.0,0.0,PO,Normal
Levofloxacin,General,0.0,999.0,20.0,49.0,375.0,0.0,0.0,0.0,IV,Normal
Levofloxacin,General,0.0,999.0,10.0,19.0,250.0,0.0,0.0,0.0,IV,Normal
Linezolid,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Lomefloxacin,General,0.0,999.0,10.0,40.0,200.0,0.0,0.0,0.0,PO,Normal
Meropenem,General,0.0,999.0,26.0,50.0,2000.0,0.0,0.0,0.0,IV,Normal
Meropenem,General,0.0,999.0,10.0,25.0,1000.0,0.0,0.0,0.0,IV,Normal
Meropenem,General,0.0,999.0,0.0,9.0,500.0,0.0,0.0,0.0,IV,Normal
Metronidazole,General,0.0,999.0,0.0,9.0,1000.0,0.0,0.0,0.0,PO,Normal
Metronidazole,General,0.0,999.0,0.0,9.0,1000.0,0.0,0.0,0.0,IV,Normal
Moxifloxacin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Nitrofurantoin,General,0.0,999.0,0.0,29.0,0.0,0.0,0.0,0.0,PO,Not Recommended
Nitrofurantoin + Nitrofurantoin Microcrystals,General,0.0,999.0,0.0,29.0,0.0,0.0,0.0,0.0,PO,Not Recommended
Ofloxacin,General,0.0,999.0,20.0,50.0,400.0,0.0,0.0,0.0,PO,Normal
Ofloxacin,General,0.0,999.0,0.0,19.0,200.0,0.0,0.0,0.0,PO,Normal
Ofloxacin,General,0.0,999.0,20.0,50.0,400.0,0.0,0.0,0.0,IV,Normal
Ofloxacin,General,0.0,999.0,0.0,19.0,200.0,0.0,0.0,0.0,IV,Normal
Ornidazole,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Oxytetracycline,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Pefloxacin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Piperacillin + Tazobactam,General,0.0,999.0,0.0,19.0,6750.0,0.0,0.0,0.0,IV,Normal
Piperacillin + Tazobactam,Nosocomial pneumonia,0.0,999.0,0.0,19.0,9000.0,0.0,0.0,0.0,IV,Normal
Piperacillin + Tazobactam,General,0.0,999.0,20.0,40.0,9000.0,0.0,0.0,0.0,IV,Normal
Piperacillin + Tazobactam,Nosocomial pneumonia,0.0,999.0,20.0,40.0,13500.0,0.0,0.0,0.0,IV,Normal
Piperacillin + Tazobactam,General,0.0,999.0,41.0,90.0,13500.0,0.0,0.0,0.0,IV,Normal
Rifampin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Sparfloxacin,General,0.0,999.0,0.0,49.0,100.0,0.0,0.0,0.0,PO,Normal
Sparfloxacin,General,0.0,999.0,0.0,9.0,0.0,2.5,0.0,0.0,IV,Normal
Sparfloxacin,General,0.0,999.0,10.0,80.0,0.0,7.5,0.0,0.0,IV,Normal
Sparfloxacin,General,0.0,999.0,0.0,9.0,0.0,2.5,0.0,0.0,IM,Normal
Sparfloxacin,General,0.0,999.0,10.0,80.0,0.0,7.5,0.0,0.0,IM,Normal
Teicoplanin,General,0.0,999.0,10.0,20.0,200.0,0.0,0.0,0.0,IV,Normal
Teicoplanin,General,0.0,999.0,0.0,9.0,100.0,0.0,0.0,0.0,IV,Normal
Tetracycline Hydrochloride,General,0.0,999.0,50.0,999.0,1500.0,0.0,0.0,0.0,PO,Normal
Tetracycline Hydrochloride,General,0.0,999.0,10.0,49.0,1000.0,0.0,0.0,0.0,PO,Normal
Tetracycline Hydrochloride,General,0.0,999.0,0.0,9.0,500.0,0.0,0.0,0.0,PO,Normal
Tigecycline,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Tinidazole,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required
Trimethoprim,General,0.0,999.0,15.0,30.0,100.0,0.0,0.0,0.0,PO,Normal
Trimethoprim,General,0.0,999.0,0.0,14.0,0.0,0.0,0.0,0.0,PO,Normal
Trimethoprim,General,0.0,999.0,15.0,30.0,100.0,0.0,0.0,0.0,IV,Normal
Trimethoprim,General,0.0,999.0,0.0,14.0,0.0,0.0,0.0,0.0,IV,Normal
Trimethoprim + Sulphamethoxazole,General,0.0,999.0,15.0,30.0,160.0,0.0,0.0,0.0,PO,Normal
Trimethoprim + Sulphamethoxazole,General,0.0,999.0,15.0,30.0,160.0,0.0,0.0,0.0,IV,Normal
Trimethoprim + Sulphamethoxazole,General,0.0,999.0,0.0,14.0,0.0,0.0,0.0,0.0,PO,Not Recommended
Trimethoprim + Sulphamethoxazole,General,0.0,999.0,0.0,14.0,0.0,0.0,0.0,0.0,IV,Not Recommended
Trimethoprim + Sulphamethoxazole,Pneumocystis carinii pneumonia,0.0,999.0,0.0,14.0,0.0,0.0,0.0,0.0,PO,Not Recommended
Trimethoprim + Sulphamethoxazole,Pneumocystis carinii pneumonia,0.0,999.0,0.0,14.0,0.0,0.0,0.0,0.0,IV,Not Recommended
Trimethoprim + Sulphamethoxazole,Pneumocystis carinii pneumonia,0.0,999.0,15.0,30.0,480.0,0.0,0.0,0.0,PO,Normal
Trimethoprim + Sulphamethoxazole,Pneumocystis carinii pneumonia,0.0,999.0,15.0,30.0,480.0,0.0,0.0,0.0,IV,Normal
Vancomycin,General,0.0,999.0,20.0,50.0,1000.0,0.0,0.0,0.0,IV,Normal
Vancomycin,General,0.0,999.0,10.0,19.0,500.0,0.0,0.0,0.0,IV,Normal
Vancomycin,General,0.0,999.0,0.0,9.0,500.0,0.0,0.0,0.0,IV,Normal
