generic,disease,min_weight,max_weight,min_crcl,max_crcl,max_dose_dd_mg,max_dose_dw_mg,max_dose_dd_iu,max_dose_dw_iu,route,flag,route_label,route_PO,route_IM,route_IV,flag_label,min_crcl_minmax,max_crcl_minmax,max_dose_dd_mg_minmax,max_dose_dw_mg_minmax
Amikacin,General,0.0,999.0,70.0,89.0,0.0,12.0,0.0,0.0,IV,Normal,2,0,0,1,0,1.0,0.08542713567839195,0.0,0.48
Amikacin,General,0.0,999.0,50.0,69.0,0.0,7.5,0.0,0.0,IV,Normal,2,0,0,1,0,0.7142857142857143,0.06532663316582915,0.0,0.3
Amikacin,General,0.0,999.0,30.0,49.0,0.0,4.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.42857142857142855,0.04522613065326633,0.0,0.16
Amikacin,General,0.0,999.0,30.0,39.0,0.0,4.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.42857142857142855,0.035175879396984924,0.0,0.16
Amikacin,General,0.0,999.0,20.0,29.0,0.0,3.75,0.0,0.0,IV,Normal,2,0,0,1,0,0.2857142857142857,0.02512562814070352,0.0,0.15
Amikacin,General,0.0,999.0,10.0,19.0,0.0,2.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.01507537688442211,0.0,0.08
Amikacin,General,0.0,999.0,0.0,9.0,0.0,1.5,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.0,0.06
Amikacin,General,0.0,999.0,70.0,89.0,0.0,12.0,0.0,0.0,IM,Normal,1,0,1,0,0,1.0,0.08542713567839195,0.0,0.48
Amikacin,General,0.0,999.0,50.0,69.0,0.0,7.5,0.0,0.0,IM,Normal,1,0,1,0,0,0.7142857142857143,0.06532663316582915,0.0,0.3
Amikacin,General,0.0,999.0,30.0,49.0,0.0,4.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.42857142857142855,0.04522613065326633,0.0,0.16
Amikacin,General,0.0,999.0,30.0,39.0,0.0,4.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.42857142857142855,0.035175879396984924,0.0,0.16
Amikacin,General,0.0,999.0,20.0,29.0,0.0,3.75,0.0,0.0,IM,Normal,1,0,1,0,0,0.2857142857142857,0.02512562814070352,0.0,0.15
Amikacin,General,0.0,999.0,10.0,19.0,0.0,2.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.14285714285714285,0.01507537688442211,0.0,0.08
Amikacin,General,0.0,999.0,0.0,9.0,0.0,1.5,0.0,0.0,IM,Normal,1,0,1,0,0,0.0,0.005025125628140704,0.0,0.06
Amoxicillin,General,0.0,999.0,10.0,30.0,2000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.14285714285714285,0.02613065326633166,0.1388888888888889,0.0
Amoxicillin,General,0.0,999.0,0.0,9.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.005025125628140704,0.06944444444444445,0.0
Amoxicillin  + Clavulanic Acid,General,0.0,999.0,10.0,30.0,1750.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.14285714285714285,0.02613065326633166,0.12152777777777778,0.0
Amoxicillin  + Clavulanic Acid,General,0.0,999.0,0.0,9.0,875.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.005025125628140704,0.06076388888888889,0.0
Amphotericin B,General,0.0,999.0,0.0,10.0,0.0,0.7,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.006030150753768844,0.0,0.027999999999999997
Ampicillin,General,0.0,999.0,30.0,50.0,8000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.42857142857142855,0.04623115577889447,0.5555555555555556,0.0
Ampicillin,General,0.0,999.0,10.0,29.0,6000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.14285714285714285,0.02512562814070352,0.4166666666666667,0.0
Ampicillin,General,0.0,999.0,0.0,9.0,4000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.0,0.005025125628140704,0.2777777777777778,0.0
Ampicillin,General,0.0,999.0,30.0,50.0,8000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.42857142857142855,0.04623115577889447,0.5555555555555556,0.0
Ampicillin,General,0.0,999.0,10.0,29.0,6000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.02512562814070352,0.4166666666666667,0.0
Ampicillin,General,0.0,999.0,0.0,9.0,4000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.2777777777777778,0.0
Ampicillin,General,0.0,999.0,30.0,49.0,2000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.42857142857142855,0.04522613065326633,0.1388888888888889,0.0
Ampicillin,General,0.0,999.0,10.0,29.0,1500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.14285714285714285,0.02512562814070352,0.10416666666666667,0.0
Ampicillin,General,0.0,999.0,0.0,9.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.005025125628140704,0.06944444444444445,0.0
Artemether,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Artemether + Lumefantrine,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Azithromycin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Aztreonam,General,0.0,999.0,10.0,30.0,4000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.02613065326633166,0.2777777777777778,0.0
Aztreonam,General,0.0,999.0,0.0,9.0,2000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.1388888888888889,0.0
Benzathine Penicillin,General,0.0,999.0,15.0,59.0,0.0,0.0,600000.0,0.0,IM,Normal,1,0,1,0,0,0.21428571428571427,0.05527638190954774,0.0,0.0
Benzathine Penicillin,General,0.0,999.0,0.0,14.0,0.0,0.0,300000.0,0.0,IM,Normal,1,0,1,0,0,0.0,0.010050251256281407,0.0,0.0
Benzyl Penicillin,General,0.0,999.0,60.0,89.0,14400.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.8571428571428571,0.08542713567839195,1.0,0.0
Benzyl Penicillin,General,0.0,999.0,40.0,59.0,7200.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.5714285714285714,0.05527638190954774,0.5,0.0
Benzyl Penicillin,General,0.0,999.0,20.0,39.0,5400.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.2857142857142857,0.035175879396984924,0.375,0.0
Benzyl Penicillin,General,0.0,999.0,10.0,19.0,3600.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.01507537688442211,0.25,0.0
Benzyl Penicillin,General,0.0,999.0,0.0,9.0,2400.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.16666666666666666,0.0
Cefaclor,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Cefadroxil,General,0.0,999.0,25.0,50.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.35714285714285715,0.04623115577889447,0.06944444444444445,0.0
Cefadroxil,General,0.0,999.0,10.0,24.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.14285714285714285,0.020100502512562814,0.034722222222222224,0.0
Cefadroxil,General,0.0,999.0,0.0,9.0,250.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.005025125628140704,0.017361111111111112,0.0
Cefazolin,General,0.0,999.0,35.0,54.0,6000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.5,0.05025125628140704,0.4166666666666667,0.0
Cefazolin,General,0.0,999.0,11.0,34.0,3000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.15714285714285714,0.03015075376884422,0.20833333333333334,0.0
Cefazolin,General,0.0,999.0,0.0,10.0,1000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.006030150753768844,0.06944444444444445,0.0
Cefazolin,General,0.0,999.0,35.0,54.0,6000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.5,0.05025125628140704,0.4166666666666667,0.0
Cefazolin,General,0.0,999.0,11.0,34.0,3000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.15714285714285714,0.03015075376884422,0.20833333333333334,0.0
Cefazolin,General,0.0,999.0,0.0,10.0,1000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.0,0.006030150753768844,0.06944444444444445,0.0
Cefdinir,General,0.0,999.0,0.0,29.0,300.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.02512562814070352,0.020833333333333332,0.0
Cefditoren,General,0.0,999.0,30.0,49.0,400.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.42857142857142855,0.04522613065326633,0.027777777777777776,0.0
Cefditoren,General,0.0,999.0,0.0,29.0,200.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.02512562814070352,0.013888888888888888,0.0
Cefepime,General,0.0,999.0,60.0,89.0,6000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.8571428571428571,0.08542713567839195,0.4166666666666667,0.0
Cefepime,General,0.0,999.0,30.0,60.0,4000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.42857142857142855,0.05628140703517588,0.2777777777777778,0.0
Cefepime,General,0.0,999.0,10.0,29.0,2000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.02512562814070352,0.1388888888888889,0.0
Cefepime,General,0.0,999.0,0.0,9.0,1000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.06944444444444445,0.0
Cefixime,General,0.0,999.0,21.0,59.0,260.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.3,0.05527638190954774,0.018055555555555554,0.0
Cefixime,General,0.0,999.0,0.0,20.0,200.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.016080402010050253,0.013888888888888888,0.0
Cefoperazone,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Cefotaxime,General,0.0,999.0,10.0,50.0,6000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.14285714285714285,0.04623115577889447,0.4166666666666667,0.0
Cefotaxime,General,0.0,999.0,0.0,9.0,2000.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.0,0.005025125628140704,0.1388888888888889,0.0
Cefotaxime,General,0.0,999.0,10.0,50.0,6000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.04623115577889447,0.4166666666666667,0.0
Cefotaxime,General,0.0,999.0,0.0,9.0,2000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.1388888888888889,0.0
Cefoxitin,General,0.0,999.0,30.0,50.0,6000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.42857142857142855,0.04623115577889447,0.4166666666666667,0.0
Cefoxitin,General,0.0,999.0,10.0,29.0,4000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.02512562814070352,0.2777777777777778,0.0
Cefoxitin,General,0.0,999.0,5.0,9.0,2000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.07142857142857142,0.005025125628140704,0.1388888888888889,0.0
Cefoxitin,General,0.0,999.0,0.0,4.0,1000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.0,0.06944444444444445,0.0
Cefpirome,General,0.0,999.0,21.0,50.0,2000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.3,0.04623115577889447,0.1388888888888889,0.0
Cefpirome,General,0.0,999.0,0.0,20.0,1000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.016080402010050253,0.06944444444444445,0.0
Cefpodoxime,General,0.0,999.0,0.0,29.0,400.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.02512562814070352,0.027777777777777776,0.0
Cefpodoxime  + Clavulanic Acid,General,0.0,999.0,0.0,29.0,400.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.02512562814070352,0.027777777777777776,0.0
Cefprozil,General,0.0,999.0,0.0,29.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.02512562814070352,0.034722222222222224,0.0
Ceftazidime,General,0.0,999.0,31.0,50.0,4000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.44285714285714284,0.04623115577889447,0.2777777777777778,0.0
Ceftazidime,General,0.0,999.0,16.0,30.0,2000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.22857142857142856,0.02613065326633166,0.1388888888888889,0.0
Ceftazidime,General,0.0,999.0,0.0,15.0,1000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.011055276381909548,0.06944444444444445,0.0
Ceftibuten,General,0.0,999.0,30.0,49.0,200.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.42857142857142855,0.04522613065326633,0.013888888888888888,0.0
Ceftibuten,General,0.0,999.0,5.0,29.0,100.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.07142857142857142,0.02512562814070352,0.006944444444444444,0.0
Ceftriaxone,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Cefuroxime,General,0.0,999.0,0.0,9.0,250.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.005025125628140704,0.017361111111111112,0.0
Cefuroxime,General,0.0,999.0,10.0,30.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.14285714285714285,0.02613065326633166,0.034722222222222224,0.0
Cefuroxime,General,0.0,999.0,0.0,9.0,750.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.052083333333333336,0.0
Cefuroxime,General,0.0,999.0,10.0,19.0,1500.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.01507537688442211,0.10416666666666667,0.0
Cefuroxime,General,0.0,999.0,20.0,89.0,4500.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.2857142857142857,0.08542713567839195,0.3125,0.0
Cefuroxime + Clavulanic Acid,General,0.0,999.0,0.0,9.0,250.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.005025125628140704,0.017361111111111112,0.0
Cefuroxime + Clavulanic Acid,General,0.0,999.0,10.0,30.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.14285714285714285,0.02613065326633166,0.034722222222222224,0.0
Cefuroxime + Clavulanic Acid,General,0.0,999.0,0.0,9.0,750.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.005025125628140704,0.052083333333333336,0.0
Cefuroxime + Clavulanic Acid,General,0.0,999.0,10.0,19.0,1500.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.01507537688442211,0.10416666666666667,0.0
Cefuroxime + Clavulanic Acid,General,0.0,999.0,20.0,89.0,4500.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.2857142857142857,0.08542713567839195,0.3125,0.0
Cephalexin,General,0.0,999.0,30.0,59.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.42857142857142855,0.05527638190954774,0.06944444444444445,0.0
Cephalexin,General,0.0,999.0,15.0,29.0,750.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.21428571428571427,0.02512562814070352,0.052083333333333336,0.0
Cephalexin,General,0.0,999.0,5.0,14.0,250.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.07142857142857142,0.010050251256281407,0.017361111111111112,0.0
Cephalexin,General,0.0,999.0,1.0,4.0,125.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.014285714285714285,0.0,0.008680555555555556,0.0
Cephradine,General,0.0,999.0,21.0,999.0,2000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.3,1.0,0.1388888888888889,0.0
Cephradine,General,0.0,999.0,5.0,20.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.07142857142857142,0.016080402010050253,0.06944444444444445,0.0
Cephradine,General,0.0,999.0,0.0,4.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.0,0.034722222222222224,0.0
Ciprofloxacin,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.07142857142857142,0.02512562814070352,0.027777777777777776,0.0
Ciprofloxacin,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.07142857142857142,0.02512562814070352,0.027777777777777776,0.0
Ciprofloxacin,General,0.0,999.0,5.0,29.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.07142857142857142,0.02512562814070352,0.034722222222222224,0.0
Ciprofloxacin,General,0.0,999.0,30.0,50.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.42857142857142855,0.04623115577889447,0.06944444444444445,0.0
Ciprofloxacin Hydrochloride,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.07142857142857142,0.02512562814070352,0.027777777777777776,0.0
Ciprofloxacin Hydrochloride,General,0.0,999.0,5.0,29.0,400.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.07142857142857142,0.02512562814070352,0.027777777777777776,0.0
Ciprofloxacin Hydrochloride,General,0.0,999.0,5.0,29.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.07142857142857142,0.02512562814070352,0.034722222222222224,0.0
Ciprofloxacin Hydrochloride,General,0.0,999.0,30.0,50.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.42857142857142855,0.04623115577889447,0.06944444444444445,0.0
Clarithromycin,General,0.0,999.0,0.0,29.0,500.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.02512562814070352,0.034722222222222224,0.0
Clindamycin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Cloxacillin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Dapsone,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Dicloxacillin,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Doripenem,General,0.0,999.0,30.0,50.0,750.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.42857142857142855,0.04623115577889447,0.052083333333333336,0.0
